iter	Logloss
0	0.6120495676
1	0.5447953329
2	0.4891066666
3	0.4419457242
4	0.4015172528
5	0.3671291213
6	0.3372550379
7	0.3112908524
8	0.2884534212
9	0.2684689043
10	0.2508795193
11	0.2353918021
12	0.2216470839
13	0.2095060428
14	0.1988015658
15	0.1891937662
16	0.1806155491
17	0.173035443
18	0.1662880867
19	0.1603193616
20	0.1548857722
21	0.1500239011
22	0.1456923801
23	0.1418775193
24	0.1383893202
25	0.1353236024
26	0.1326443114
27	0.1301864803
28	0.1279519334
29	0.1259564487
30	0.1241752918
31	0.1225944923
32	0.121167796
33	0.119825458
34	0.118639888
35	0.1175634855
36	0.1166046483
37	0.115713089
38	0.1148647081
39	0.1141150705
40	0.1133932448
41	0.112744767
42	0.1121577321
43	0.1115581346
44	0.1110027434
45	0.1105212902
46	0.1100266344
47	0.1096001496
48	0.1091243252
49	0.1087218635
50	0.1082796368
51	0.1078104861
52	0.1074748682
53	0.1071334314
54	0.1067635812
55	0.1063847578
56	0.1060409258
57	0.105679177
58	0.1053859797
59	0.1049956473
60	0.1046881309
61	0.1043320619
62	0.1040355181
63	0.1036731162
64	0.1033579018
65	0.1030333624
66	0.1026952441
67	0.1024119921
68	0.102093286
69	0.1017978328
70	0.1014653032
71	0.1011546077
72	0.1008725927
73	0.1006158007
74	0.1003537371
75	0.1000443205
76	0.09978669897
77	0.09952344965
78	0.09925128892
79	0.09900649216
80	0.09870501322
81	0.09839601226
82	0.09815674196
83	0.09791529082
84	0.09767053157
85	0.09744911075
86	0.0971965239
87	0.09694501632
88	0.09672122062
89	0.09653467543
90	0.09633304201
91	0.09608802
92	0.09589590045
93	0.0956845735
94	0.09545085616
95	0.09524869383
96	0.09505981868
97	0.09487098988
98	0.09468405466
99	0.09449094767
