iter	Passed	Remaining
0	171	17024
1	203	9979
2	242	7825
3	275	6606
4	309	5871
5	345	5419
6	384	5107
7	427	4911
8	475	4807
9	514	4632
10	557	4509
11	592	4345
12	631	4226
13	667	4100
14	707	4009
15	746	3921
16	788	3851
17	829	3780
18	873	3722
19	919	3676
20	962	3621
21	1006	3568
22	1042	3488
23	1077	3412
24	1112	3337
25	1148	3267
26	1189	3217
27	1222	3144
28	1255	3074
29	1291	3013
30	1322	2944
31	1357	2883
32	1392	2826
33	1425	2767
34	1461	2714
35	1495	2658
36	1533	2611
37	1568	2559
38	1606	2513
39	1647	2470
40	1686	2427
41	1721	2377
42	1758	2331
43	1793	2282
44	1829	2236
45	1868	2193
46	1909	2153
47	1942	2104
48	1981	2062
49	2021	2021
50	2062	1981
51	2113	1951
52	2152	1908
53	2186	1862
54	2224	1819
55	2256	1773
56	2288	1726
57	2319	1679
58	2352	1634
59	2383	1589
60	2415	1544
61	2449	1501
62	2488	1461
63	2529	1422
64	2566	1381
65	2599	1339
66	2635	1298
67	2672	1257
68	2711	1218
69	2743	1175
70	2777	1134
71	2811	1093
72	2844	1052
73	2885	1013
74	2921	973
75	2957	934
76	2994	894
77	3029	854
78	3061	813
79	3094	773
80	3125	733
81	3157	693
82	3188	653
83	3221	613
84	3254	574
85	3288	535
86	3318	495
87	3355	457
88	3389	418
89	3421	380
90	3455	341
91	3487	303
92	3517	264
93	3549	226
94	3581	188
95	3614	150
96	3647	112
97	3687	75
98	3723	37
99	3756	0
